# Weekly cases of measles in Ontario; Canada; 1939-89,,,,
# Missing data for 1970,,,,
# data taken from file cdi_ca_on__1939-89_wk.xls,,,,
year,month,day,numdate,cases
1940,12,28,1940.994521,412
1941,1,7,1941.019178,490
1941,1,11,1941.030137,677
1941,1,18,1941.049315,452
1941,1,25,1941.068493,709
1941,2,1,1941.087671,593
1941,2,8,1941.106849,756
1941,2,15,1941.126027,1090
1941,2,22,1941.145205,907
1941,3,1,1941.164384,910
1941,3,8,1941.183562,1200
1941,3,15,1941.20274,912
1941,3,22,1941.221918,1390
1941,3,29,1941.241096,1278
1941,4,5,1941.260274,1023
1941,4,12,1941.279452,1181
1941,4,19,1941.29863,1403
1941,4,26,1941.317808,1433
1941,5,3,1941.336986,1431
1941,5,10,1941.356164,1418
1941,5,17,1941.375342,1537
1941,5,24,1941.394521,1313
1941,5,31,1941.413699,1703
1941,6,7,1941.432877,1245
1941,6,14,1941.452055,1000
1941,6,21,1941.471233,801
1941,6,28,1941.490411,729
1941,7,5,1941.509589,461
1941,7,12,1941.528767,309
1941,7,14,1941.534247,176
1941,7,26,1941.567123,103
1941,8,2,1941.586301,100
1941,8,9,1941.605479,107
1941,8,16,1941.624658,36
1941,8,23,1941.643836,97
1941,8,30,1941.663014,38
1941,9,6,1941.682192,22
1941,9,13,1941.70137,12
1941,9,20,1941.720548,19
1941,9,27,1941.739726,39
1941,10,4,1941.758904,33
1941,10,11,1941.778082,9
1941,10,18,1941.79726,61
1941,10,25,1941.816438,46
1941,11,1,1941.835616,93
1941,11,8,1941.854795,75
1941,11,15,1941.873973,29
1941,11,22,1941.893151,135
1941,11,29,1941.912329,128
1941,12,6,1941.931507,91
1941,12,13,1941.950685,74
1941,12,20,1941.969863,89
1941,12,27,1941.989041,51
1942,1,3,1942.008219,124
1942,1,10,1942.027397,109
1942,1,17,1942.046575,115
1942,1,24,1942.065753,134
1942,1,31,1942.084932,166
1942,2,7,1942.10411,107
1942,2,14,1942.123288,185
1942,2,21,1942.142466,117
1942,2,28,1942.161644,124
1942,3,7,1942.180822,179
1942,3,14,1942.2,239
1942,3,21,1942.219178,183
1942,3,28,1942.238356,168
1942,4,4,1942.257534,155
1942,4,11,1942.276712,185
1942,4,18,1942.29589,229
1942,4,25,1942.315068,155
1942,5,2,1942.334247,259
1942,5,9,1942.353425,160
1942,5,16,1942.372603,165
1942,5,23,1942.391781,170
1942,5,30,1942.410959,265
1942,6,6,1942.430137,275
1942,6,13,1942.449315,258
1942,6,20,1942.468493,307
1942,6,27,1942.487671,193
1942,7,4,1942.506849,256
1942,7,11,1942.526027,210
1942,7,18,1942.545205,120
1942,7,25,1942.564384,122
1942,8,1,1942.583562,38
1942,8,8,1942.60274,164
1942,8,15,1942.621918,23
1942,8,22,1942.641096,13
1942,8,29,1942.660274,36
1942,9,5,1942.679452,6
1942,9,12,1942.69863,13
1942,9,19,1942.717808,14
1942,9,26,1942.736986,12
1942,10,3,1942.756164,12
1942,10,10,1942.775342,28
1942,10,17,1942.794521,21
1942,10,24,1942.813699,79
1942,10,21,1942.805479,33
1942,11,7,1942.852055,91
1942,11,14,1942.871233,44
1942,11,21,1942.890411,101
1942,11,28,1942.909589,115
1942,12,5,1942.928767,105
1942,12,12,1942.947945,199
1942,12,19,1942.967123,84
1942,12,26,1942.986301,125
1943,1,2,1943.005479,119
1943,1,9,1943.024658,70
1943,1,16,1943.043836,122
1943,1,23,1943.063014,83
1943,1,30,1943.082192,74
1943,2,6,1943.10137,155
1943,2,13,1943.120548,158
1943,2,20,1943.139726,153
1943,2,27,1943.158904,375
1943,3,6,1943.178082,270
1943,3,13,1943.19726,353
1943,3,20,1943.216438,363
1943,3,27,1943.235616,431
1943,4,3,1943.254795,860
1943,4,10,1943.273973,833
1943,4,17,1943.293151,1556
1943,4,24,1943.312329,1094
1943,5,1,1943.331507,1840
1943,5,8,1943.350685,2111
1943,5,15,1943.369863,1708
1943,5,22,1943.389041,1608
1943,5,29,1943.408219,1686
1943,6,5,1943.427397,1520
1943,6,12,1943.446575,2089
1943,6,19,1943.465753,1663
1943,6,26,1943.484932,963
1943,7,3,1943.50411,1198
1943,7,10,1943.523288,642
1943,7,17,1943.542466,459
1943,7,24,1943.561644,417
1943,7,31,1943.580822,458
1943,8,7,1943.6,171
1943,8,14,1943.619178,154
1943,8,21,1943.638356,67
1943,8,28,1943.657534,51
1943,9,4,1943.676712,53
1943,9,11,1943.69589,37
1943,9,18,1943.715068,47
1943,9,25,1943.734247,59
1943,10,2,1943.753425,34
1943,10,9,1943.772603,65
1943,10,16,1943.791781,101
1943,10,23,1943.810959,101
1943,10,30,1943.830137,81
1943,11,6,1943.849315,503
1943,11,13,1943.868493,150
1943,11,20,1943.887671,130
1943,11,27,1943.906849,249
1943,12,4,1943.926027,209
1943,12,11,1943.945205,296
1943,12,18,1943.964384,222
1943,12,25,1943.983562,192
1944,1,1,1944.00274,97
1944,1,8,1944.021918,270
1944,1,15,1944.041096,538
1944,1,22,1944.060274,326
1944,1,29,1944.079452,313
1944,2,5,1944.09863,620
1944,2,12,1944.117808,553
1944,2,19,1944.136986,568
1944,2,26,1944.156164,679
1944,3,4,1944.175342,597
1944,3,11,1944.194521,667
1944,3,18,1944.213699,643
1944,3,25,1944.232877,576
1944,4,1,1944.252055,734
1944,4,8,1944.271233,665
1944,4,15,1944.290411,588
1944,4,22,1944.309589,707
1944,4,29,1944.328767,552
1944,5,6,1944.347945,734
1944,5,13,1944.367123,723
1944,5,20,1944.386301,711
1944,5,27,1944.405479,685
1944,6,3,1944.424658,755
1944,6,10,1944.443836,602
1944,6,17,1944.463014,493
1944,6,24,1944.482192,304
1944,7,1,1944.50137,371
1944,7,8,1944.520548,197
1944,7,15,1944.539726,135
1944,7,22,1944.558904,108
1944,7,29,1944.578082,68
1944,8,5,1944.59726,70
1944,8,12,1944.616438,37
1944,8,19,1944.635616,74
1944,8,26,1944.654795,32
1944,9,2,1944.673973,11
1944,9,9,1944.693151,34
1944,9,16,1944.712329,9
1944,9,23,1944.731507,7
1944,9,30,1944.750685,20
1944,10,7,1944.769863,24
1944,10,14,1944.789041,46
1944,10,21,1944.808219,30
1944,10,28,1944.827397,68
1944,11,4,1944.846575,30
1944,11,11,1944.865753,27
1944,11,18,1944.884932,165
1944,11,25,1944.90411,142
1944,12,2,1944.923288,86
1944,12,9,1944.942466,115
1944,12,16,1944.961644,103
1944,12,23,1944.980822,78
1944,12,30,1945,95
1945,1,6,1945.016438,61
1945,1,13,1945.035616,92
1945,1,20,1945.054795,80
1945,1,27,1945.073973,59
1945,2,3,1945.093151,134
1945,2,10,1945.112329,69
1945,2,17,1945.131507,93
1945,2,24,1945.150685,129
1945,3,3,1945.169863,61
1945,3,10,1945.189041,114
1945,3,17,1945.208219,79
1945,3,24,1945.227397,87
1945,3,31,1945.246575,106
1945,4,7,1945.265753,82
1945,4,14,1945.284932,107
1945,4,21,1945.30411,160
1945,4,28,1945.323288,86
1945,5,5,1945.342466,142
1945,5,12,1945.361644,251
1945,5,19,1945.380822,177
1945,5,26,1945.4,230
1945,6,2,1945.419178,219
1945,6,9,1945.438356,125
1945,6,16,1945.457534,185
1945,6,23,1945.476712,137
1945,6,30,1945.49589,229
1945,7,7,1945.515068,120
1945,7,14,1945.534247,58
1945,7,21,1945.553425,125
1945,7,28,1945.572603,50
1945,8,4,1945.591781,54
1945,8,11,1945.610959,79
1945,8,18,1945.630137,74
1945,8,25,1945.649315,46
1945,9,1,1945.668493,20
1945,9,8,1945.687671,36
1945,9,15,1945.706849,34
1945,9,22,1945.726027,65
1945,9,29,1945.745205,34
1945,10,6,1945.764384,90
1945,10,13,1945.783562,85
1945,10,20,1945.80274,178
1945,10,27,1945.821918,204
1945,11,3,1945.841096,277
1945,11,10,1945.860274,339
1945,11,17,1945.879452,331
1945,11,24,1945.89863,350
1945,12,1,1945.917808,1021
1945,12,8,1945.936986,415
1945,12,15,1945.956164,400
1945,12,22,1945.975342,357
1945,12,29,1945.994521,577
1946,1,5,1946.013699,1463
1946,1,12,1946.032877,966
1946,1,19,1946.052055,1124
1946,1,26,1946.071233,951
1946,2,2,1946.090411,1527
1946,2,9,1946.109589,1286
1946,2,16,1946.128767,1301
1946,2,23,1946.147945,1716
1946,3,2,1946.167123,1521
1946,3,9,1946.186301,1798
1946,3,16,1946.205479,1461
1946,3,23,1946.224658,1382
1946,3,30,1946.243836,1299
1946,4,6,1946.263014,1321
1946,4,13,1946.282192,1150
1946,4,20,1946.30137,960
1946,4,27,1946.320548,1396
1946,5,4,1946.339726,878
1946,5,11,1946.358904,1269
1946,5,18,1946.378082,942
1946,5,25,1946.39726,659
1946,6,1,1946.416438,1240
1946,6,8,1946.435616,548
1946,6,15,1946.454795,939
1946,6,22,1946.473973,504
1946,6,29,1946.493151,335
1946,7,6,1946.512329,309
1946,7,13,1946.531507,562
1946,7,20,1946.550685,200
1946,7,27,1946.569863,254
1946,8,3,1946.589041,73
1946,8,10,1946.608219,148
1946,8,17,1946.627397,38
1946,8,24,1946.646575,70
1946,8,31,1946.665753,41
1946,9,7,1946.684932,65
1946,9,14,1946.70411,37
1946,9,21,1946.723288,21
1946,9,28,1946.742466,50
1946,10,5,1946.761644,97
1946,10,12,1946.780822,98
1946,10,19,1946.8,38
1946,10,26,1946.819178,110
1946,11,2,1946.838356,37
1946,11,9,1946.857534,85
1946,11,16,1946.876712,42
1946,11,23,1946.89589,56
1946,11,30,1946.915068,130
1946,12,7,1946.934247,81
1946,12,14,1946.953425,103
1946,12,21,1946.972603,168
1946,12,28,1946.991781,27
1947,1,4,1947.010959,160
1947,1,11,1947.030137,64
1947,1,18,1947.049315,72
1947,1,25,1947.068493,80
1947,2,1,1947.087671,70
1947,2,8,1947.106849,56
1947,2,15,1947.126027,55
1947,2,22,1947.145205,94
1947,3,1,1947.164384,172
1947,3,8,1947.183562,109
1947,3,15,1947.20274,83
1947,3,22,1947.221918,206
1947,3,29,1947.241096,76
1947,4,5,1947.260274,102
1947,4,12,1947.279452,96
1947,4,19,1947.29863,162
1947,4,26,1947.317808,93
1947,5,3,1947.336986,208
1947,5,10,1947.356164,168
1947,5,17,1947.375342,252
1947,5,24,1947.394521,412
1947,5,31,1947.413699,356
1947,6,7,1947.432877,243
1947,6,14,1947.452055,276
1947,6,21,1947.471233,240
1947,6,28,1947.490411,160
1947,7,5,1947.509589,240
1947,7,12,1947.528767,102
1947,7,19,1947.547945,96
1947,7,26,1947.567123,66
1947,8,2,1947.586301,35
1947,8,9,1947.605479,74
1947,8,16,1947.624658,78
1947,8,23,1947.643836,36
1947,8,30,1947.663014,39
1947,9,6,1947.682192,62
1947,9,13,1947.70137,18
1947,9,20,1947.720548,48
1947,9,27,1947.739726,20
1947,10,4,1947.758904,40
1947,10,11,1947.778082,26
1947,10,18,1947.79726,45
1947,10,25,1947.816438,54
1947,11,1,1947.835616,80
1947,11,8,1947.854795,72
1947,11,15,1947.873973,190
1947,11,22,1947.893151,142
1947,11,29,1947.912329,211
1947,12,6,1947.931507,252
1947,12,13,1947.950685,341
1947,12,20,1947.969863,399
1947,12,27,1947.989041,315
1948,1,3,1948.008219,452
1948,1,10,1948.027397,811
1948,1,17,1948.046575,626
1948,1,24,1948.065753,885
1948,1,31,1948.084932,938
1948,2,7,1948.10411,1662
1948,2,14,1948.123288,1422
1948,2,21,1948.142466,1310
1948,2,28,1948.161644,1329
1948,3,6,1948.180822,1246
1948,3,13,1948.2,1566
1948,3,20,1948.219178,1276
1948,3,27,1948.238356,1231
1948,4,3,1948.257534,1321
1948,4,10,1948.276712,1149
1948,4,17,1948.29589,1075
1948,4,24,1948.315068,1183
1948,5,1,1948.334247,1223
1948,5,8,1948.353425,1127
1948,5,15,1948.372603,1045
1948,5,22,1948.391781,1424
1948,5,29,1948.410959,1160
1948,6,5,1948.430137,967
1948,6,12,1948.449315,1018
1948,6,19,1948.468493,1189
1948,6,26,1948.487671,754
1948,7,3,1948.506849,714
1948,7,10,1948.526027,468
1948,7,17,1948.545205,473
1948,7,24,1948.564384,159
1948,7,31,1948.583562,198
1948,8,7,1948.60274,107
1948,8,14,1948.621918,45
1948,8,21,1948.641096,53
1948,8,28,1948.660274,81
1948,9,4,1948.679452,51
1948,9,11,1948.69863,65
1948,9,18,1948.717808,13
1948,9,25,1948.736986,47
1948,10,2,1948.756164,38
1948,10,9,1948.775342,59
1948,10,16,1948.794521,39
1948,10,23,1948.813699,81
1948,10,30,1948.832877,99
1948,11,6,1948.852055,88
1948,11,13,1948.871233,125
1948,11,20,1948.890411,83
1948,11,27,1948.909589,116
1948,12,4,1948.928767,99
1948,12,11,1948.947945,124
1948,12,18,1948.967123,143
1948,12,25,1948.986301,56
1949,1,1,1949.00274,171
1949,1,8,1949.021918,221
1949,1,15,1949.041096,156
1949,1,22,1949.060274,311
1949,1,29,1949.079452,249
1949,2,5,1949.09863,336
1949,2,12,1949.117808,426
1949,2,19,1949.136986,236
1949,2,26,1949.156164,422
1949,3,5,1949.175342,294
1949,3,12,1949.194521,315
1949,3,19,1949.213699,466
1949,3,26,1949.232877,237
1949,4,2,1949.252055,204
1949,4,9,1949.271233,171
1949,4,16,1949.290411,168
1949,4,23,1949.309589,143
1949,4,30,1949.328767,281
1949,5,7,1949.347945,246
1949,5,14,1949.367123,278
1949,5,21,1949.386301,236
1949,5,28,1949.405479,226
1949,6,4,1949.424658,364
1949,6,11,1949.443836,299
1949,6,18,1949.463014,380
1949,6,25,1949.482192,266
1949,7,2,1949.50137,235
1949,7,9,1949.520548,263
1949,7,16,1949.539726,126
1949,7,23,1949.558904,90
1949,7,30,1949.578082,96
1949,8,6,1949.59726,76
1949,8,13,1949.616438,58
1949,8,20,1949.635616,18
1949,8,27,1949.654795,24
1949,9,3,1949.673973,20
1949,9,10,1949.693151,33
1949,9,17,1949.712329,22
1949,9,24,1949.731507,29
1949,10,1,1949.750685,42
1949,10,8,1949.769863,44
1949,10,15,1949.789041,50
1949,10,22,1949.808219,99
1949,10,29,1949.827397,50
1949,11,5,1949.846575,45
1949,11,12,1949.865753,43
1949,11,19,1949.884932,89
1949,11,26,1949.90411,142
1949,12,3,1949.923288,123
1949,12,10,1949.942466,109
1949,12,17,1949.961644,109
1949,12,24,1949.980822,87
1949,12,31,1950,602
1950,1,7,1950.019178,355
1950,1,14,1950.038356,415
1950,1,21,1950.057534,406
1950,1,28,1950.076712,501
1950,2,4,1950.09589,533
1950,2,11,1950.115068,723
1950,2,18,1950.134247,504
1950,2,25,1950.153425,620
1950,3,4,1950.172603,630
1950,3,11,1950.191781,624
1950,3,18,1950.210959,688
1950,3,25,1950.230137,389
1950,4,1,1950.249315,592
1950,4,8,1950.268493,588
1950,4,15,1950.287671,547
1950,4,22,1950.306849,347
1950,4,29,1950.326027,638
1950,5,6,1950.345205,560
1950,5,13,1950.364384,564
1950,5,20,1950.383562,828
1950,5,27,1950.40274,527
1950,6,3,1950.421918,1068
1950,6,10,1950.441096,345
1950,6,17,1950.460274,595
1950,6,24,1950.479452,723
1950,7,1,1950.49863,501
1950,7,8,1950.517808,469
1950,7,15,1950.536986,304
1950,7,22,1950.556164,193
1950,7,29,1950.575342,200
1950,8,5,1950.594521,197
1950,8,12,1950.613699,158
1950,8,19,1950.632877,119
1950,8,26,1950.652055,62
1950,9,2,1950.671233,70
1950,9,9,1950.690411,115
1950,9,16,1950.709589,50
1950,9,23,1950.728767,49
1950,9,30,1950.747945,183
1950,10,7,1950.767123,142
1950,10,14,1950.786301,164
1950,10,21,1950.805479,194
1950,10,28,1950.824658,281
1950,11,4,1950.843836,444
1950,11,11,1950.863014,558
1950,11,18,1950.882192,680
1950,11,25,1950.90137,787
1950,12,2,1950.920548,1198
1950,12,9,1950.939726,1161
1950,12,16,1950.958904,962
1950,12,23,1950.978082,1369
1950,12,30,1950.99726,1055
1951,1,6,1951.016438,2015
1951,1,13,1951.035616,1520
1951,1,20,1951.054795,1925
1951,1,27,1951.073973,2058
1951,2,3,1951.093151,2092
1951,2,10,1951.112329,2048
1951,2,17,1951.131507,2181
1951,2,24,1951.150685,1796
1951,3,3,1951.169863,1136
1951,3,10,1951.189041,1165
1951,3,17,1951.208219,737
1951,3,24,1951.227397,668
1951,3,31,1951.246575,560
1951,4,7,1951.265753,1067
1951,4,14,1951.284932,792
1951,4,21,1951.30411,665
1951,4,28,1951.323288,757
1951,5,5,1951.342466,876
1951,5,12,1951.361644,553
1951,5,19,1951.380822,421
1951,5,26,1951.4,484
1951,6,2,1951.419178,453
1951,6,9,1951.438356,359
1951,6,16,1951.457534,336
1951,6,23,1951.476712,364
1951,6,30,1951.49589,177
1951,7,7,1951.515068,145
1951,7,14,1951.534247,126
1951,7,21,1951.553425,57
1951,7,28,1951.572603,99
1951,8,4,1951.591781,43
1951,8,11,1951.610959,53
1951,8,18,1951.630137,37
1951,8,25,1951.649315,24
1951,9,1,1951.668493,27
1951,9,8,1951.687671,34
1951,9,15,1951.706849,29
1951,9,22,1951.726027,41
1951,9,29,1951.745205,46
1951,10,6,1951.764384,47
1951,10,13,1951.783562,44
1951,10,20,1951.80274,89
1951,10,27,1951.821918,31
1951,11,3,1951.841096,97
1951,11,10,1951.860274,106
1951,11,17,1951.879452,32
1951,11,24,1951.89863,97
1951,12,1,1951.917808,193
1951,12,8,1951.936986,150
1951,12,15,1951.956164,154
1951,12,22,1951.975342,140
1951,12,29,1951.994521,147
1952,1,5,1952.013699,220
1952,1,12,1952.032877,453
1952,1,19,1952.052055,668
1952,1,26,1952.071233,285
1952,2,2,1952.090411,378
1952,2,9,1952.109589,594
1952,2,16,1952.128767,468
1952,2,23,1952.147945,536
1952,3,1,1952.167123,592
1952,3,8,1952.186301,275
1952,3,15,1952.205479,532
1952,3,22,1952.224658,668
1952,3,29,1952.243836,486
1952,4,5,1952.263014,330
1952,4,12,1952.282192,460
1952,4,19,1952.30137,519
1952,4,26,1952.320548,454
1952,5,3,1952.339726,531
1952,5,10,1952.358904,484
1952,5,17,1952.378082,586
1952,5,24,1952.39726,655
1952,5,31,1952.416438,550
1952,6,7,1952.435616,491
1952,6,14,1952.454795,487
1952,6,21,1952.473973,414
1952,6,28,1952.493151,354
1952,7,5,1952.512329,323
1952,7,12,1952.531507,290
1952,7,19,1952.550685,184
1952,7,26,1952.569863,194
1952,8,2,1952.589041,73
1952,8,9,1952.608219,50
1952,8,16,1952.627397,40
1952,8,23,1952.646575,38
1952,8,30,1952.665753,61
1952,9,6,1952.684932,28
1952,9,13,1952.70411,41
1952,9,20,1952.723288,23
1952,9,27,1952.742466,48
1952,10,4,1952.761644,55
1952,10,11,1952.780822,113
1952,10,18,1952.8,86
1952,10,25,1952.819178,115
1952,11,1,1952.838356,224
1952,11,8,1952.857534,170
1952,11,15,1952.876712,170
1952,11,22,1952.89589,183
1952,11,29,1952.915068,291
1952,12,6,1952.934247,313
1952,12,13,1952.953425,429
1952,12,20,1952.972603,294
1952,12,27,1952.991781,508
1953,1,3,1953.008219,667
1953,1,10,1953.027397,853
1953,1,17,1953.046575,800
1953,1,24,1953.065753,972
1953,1,31,1953.084932,1004
1953,2,7,1953.10411,1011
1953,2,14,1953.123288,1024
1953,2,21,1953.142466,1026
1953,2,28,1953.161644,1065
1953,3,7,1953.180822,954
1953,3,14,1953.2,1069
1953,3,21,1953.219178,962
1953,3,28,1953.238356,882
1953,4,4,1953.257534,675
1953,4,11,1953.276712,536
1953,4,18,1953.29589,711
1953,4,25,1953.315068,632
1953,5,2,1953.334247,675
1953,5,9,1953.353425,730
1953,5,16,1953.372603,597
1953,5,23,1953.391781,664
1953,5,30,1953.410959,662
1953,6,6,1953.430137,615
1953,6,13,1953.449315,641
1953,6,20,1953.468493,484
1953,6,27,1953.487671,388
1953,7,4,1953.506849,222
1953,7,11,1953.526027,115
1953,7,18,1953.545205,166
1953,7,25,1953.564384,110
1953,8,1,1953.583562,95
1953,8,8,1953.60274,47
1953,8,15,1953.621918,24
1953,8,22,1953.641096,40
1953,8,29,1953.660274,27
1953,9,5,1953.679452,10
1953,9,12,1953.69863,31
1953,9,19,1953.717808,13
1953,9,26,1953.736986,8
1953,10,3,1953.756164,23
1953,10,10,1953.775342,31
1953,10,17,1953.794521,68
1953,10,24,1953.813699,29
1953,10,31,1953.832877,62
1953,11,7,1953.852055,62
1953,11,14,1953.871233,50
1953,11,21,1953.890411,119
1953,11,28,1953.909589,110
1953,12,5,1953.928767,126
1953,12,12,1953.947945,128
1953,12,19,1953.967123,111
1953,12,26,1953.986301,111
1954,1,2,1954.005479,249
1954,1,9,1954.024658,278
1954,1,16,1954.043836,219
1954,1,23,1954.063014,240
1954,1,30,1954.082192,279
1954,2,6,1954.10137,201
1954,2,13,1954.120548,393
1954,2,20,1954.139726,466
1954,2,27,1954.158904,435
1954,3,6,1954.178082,351
1954,3,13,1954.19726,365
1954,3,20,1954.216438,80
1954,3,27,1954.235616,340
1954,4,3,1954.254795,394
1954,4,10,1954.273973,309
1954,4,17,1954.293151,234
1954,4,24,1954.312329,225
1954,5,1,1954.331507,187
1954,5,8,1954.350685,230
1954,5,15,1954.369863,129
1954,5,22,1954.389041,170
1954,5,29,1954.408219,219
1954,6,5,1954.427397,279
1954,6,12,1954.446575,232
1954,6,19,1954.465753,190
1954,6,26,1954.484932,204
1954,7,3,1954.50411,216
1954,7,10,1954.523288,242
1954,7,17,1954.542466,163
1954,7,24,1954.561644,151
1954,7,31,1954.580822,75
1954,8,7,1954.6,81
1954,8,14,1954.619178,46
1954,8,21,1954.638356,59
1954,8,28,1954.657534,37
1954,9,4,1954.676712,13
1954,9,11,1954.69589,39
1954,9,18,1954.715068,23
1954,9,25,1954.734247,35
1954,10,2,1954.753425,29
1954,10,9,1954.772603,40
1954,10,16,1954.791781,32
1954,10,23,1954.810959,58
1954,10,30,1954.830137,94
1954,11,6,1954.849315,101
1954,11,13,1954.868493,140
1954,11,20,1954.887671,176
1954,11,27,1954.906849,198
1954,12,4,1954.926027,196
1954,12,11,1954.945205,258
1954,12,18,1954.964384,124
1954,12,25,1954.983562,267
1955,1,1,1955.00274,186
1955,1,8,1955.021918,313
1955,1,15,1955.041096,325
1955,1,22,1955.060274,339
1955,1,29,1955.079452,311
1955,2,5,1955.09863,343
1955,2,12,1955.117808,366
1955,2,19,1955.136986,428
1955,2,26,1955.156164,534
1955,3,5,1955.175342,734
1955,3,12,1955.194521,517
1955,3,19,1955.213699,621
1955,3,26,1955.232877,622
1955,4,2,1955.252055,621
1955,4,9,1955.271233,585
1955,4,16,1955.290411,569
1955,4,23,1955.309589,703
1955,4,30,1955.328767,539
1955,5,7,1955.347945,636
1955,5,14,1955.367123,618
1955,5,21,1955.386301,657
1955,5,28,1955.405479,736
1955,6,4,1955.424658,537
1955,6,11,1955.443836,711
1955,6,18,1955.463014,722
1955,6,25,1955.482192,504
1955,7,2,1955.50137,366
1955,7,9,1955.520548,395
1955,7,16,1955.539726,175
1955,7,23,1955.558904,178
1955,7,30,1955.578082,173
1955,8,6,1955.59726,66
1955,8,13,1955.616438,116
1955,8,20,1955.635616,79
1955,8,27,1955.654795,50
1955,9,3,1955.673973,50
1955,9,10,1955.693151,34
1955,9,17,1955.712329,28
1955,9,24,1955.731507,89
1955,10,1,1955.750685,118
1955,10,8,1955.769863,84
1955,10,15,1955.789041,302
1955,10,22,1955.808219,234
1955,10,29,1955.827397,291
1955,11,5,1955.846575,342
1955,11,12,1955.865753,479
1955,11,19,1955.884932,585
1955,11,26,1955.90411,706
1955,12,3,1955.923288,686
1955,12,10,1955.942466,618
1955,12,17,1955.961644,781
1955,12,24,1955.980822,876
1955,12,31,1956,242
1956,1,7,1956.019178,1188
1956,1,14,1956.038356,1005
1956,1,21,1956.057534,856
1956,1,28,1956.076712,954
1956,2,4,1956.09589,985
1956,2,11,1956.115068,822
1956,2,18,1956.134247,828
1956,2,25,1956.153425,1158
1956,3,3,1956.172603,802
1956,3,10,1956.191781,949
1956,3,17,1956.210959,857
1956,3,24,1956.230137,614
1956,3,31,1956.249315,531
1956,4,7,1956.268493,529
1956,4,14,1956.287671,594
1956,4,21,1956.306849,725
1956,4,28,1956.326027,554
1956,5,5,1956.345205,733
1956,5,12,1956.364384,501
1956,5,19,1956.383562,967
1956,5,26,1956.40274,861
1956,6,2,1956.421918,560
1956,6,9,1956.441096,658
1956,6,16,1956.460274,695
1956,6,23,1956.479452,762
1956,6,30,1956.49863,452
1956,7,7,1956.517808,281
1956,7,14,1956.536986,219
1956,7,21,1956.556164,180
