# Monthly births in Canada; 1921-2002,,
# Source: Taken from: 'Vital Statistics' Dominion Bureau of Statistics. 1921 - 1966; 1967-69 from Table B15 Live Births by Month; Canada and Provinces,,
# Source: 1973-77; TABLE 15. Live Births by Month; Canada and Provinces; 1978; Table 8 Live Births by Month; Canada and Provinces; 1979-892; Table 3 Live Births by Month; Canada and Provinces,,
# Source: 1993-95; Table 2.2 Live Births by Month; Canada; Provinces and Territories; 1996-99; Table 1.2 Live Births by Month; Canada; Provinces and Territories,,
# Source: 2000-02; Table 102-4502 - Live births by month; Canada; Provinces and Territories from Statistics Canada; Canadian Vital Statistics; Birth Database (http://estat.statcan.ca/),,
year,month,ON
1981,4,10516
1981,5,10424
1981,6,10529
1981,7,10963
1981,8,10365
1981,9,10507
1981,10,9939
1981,11,9734
1981,12,9963
1982,1,9476
1982,2,9316
1982,3,10674
1982,4,10587
1982,5,10905
1982,6,10691
1982,7,10978
1982,8,10725
1982,9,10793
1982,10,10355
1982,11,10033
1982,12,10323
1983,1,9796
1983,2,9598
1983,3,10957
1983,4,10984
1983,5,11281
1983,6,11018
1983,7,10837
1983,8,10844
1983,9,10580
1983,10,10396
1983,11,10109
1983,12,10426
1984,1,9938
1984,2,10101
1984,3,11188
1984,4,10928
1984,5,11555
1984,6,11078
1984,7,11659
1984,8,11502
1984,9,11343
1984,10,11385
1984,11,10160
1984,12,10459
1985,1,10289
1985,2,9747
1985,3,11233
1985,4,11358
1985,5,11698
1985,6,11051
1985,7,11648
1985,8,11160
1985,9,11570
1985,10,11403
1985,11,10542
1985,12,10509
1986,1,10311
1986,2,9886
1986,3,11440
1986,4,11696
1986,5,12088
1986,6,11228
1986,7,11685
1986,8,11454
1986,9,11807
1986,10,11226
1986,11,10232
1986,12,10829
1987,1,10273
1987,2,10018
1987,3,11778
1987,4,11677
1987,5,12154
1987,6,11776
1987,7,11879
1987,8,11193
1987,9,11415
1987,10,10940
1987,11,10680
1987,12,10834
1988,1,10466
1988,2,10439
1988,3,11892
1988,4,11426
1988,5,12407
1988,6,12085
1988,7,11994
1988,8,12179
1988,9,12055
1988,10,11428
1988,11,10834
1988,12,10861
1989,1,10978
1989,2,10706
1989,3,12465
1989,4,12078
1989,5,12740
1989,6,12490
1989,7,12739
1989,8,12731
1989,9,12734
1989,10,12223
1989,11,11560
1989,12,11894
1990,1,11723
1990,2,11445
1990,3,13138
1990,4,13173
1990,5,13597
1990,6,13130
1990,7,13215
1990,8,13138
1990,9,12958
1990,10,12360
1990,11,11709
1990,12,11337
1991,1,11918
1991,2,11175
1991,3,12901
1991,4,13394
1991,5,13673
1991,6,12849
1991,7,13362
1991,8,13016
1991,9,12835
1991,10,12546
1991,11,11715
1991,12,12094
1992,1,11872
1992,2,11742
1992,3,13167
1992,4,13198
1992,5,13845
1992,6,12673
1992,7,13317
1992,8,12375
1992,9,12802
1992,10,12361
1992,11,11479
1992,12,11762
1993,1,11732
1993,2,11286
1993,3,12838
1993,4,12950
1993,5,13123
1993,6,12713
1993,7,12903
1993,8,12540
1993,9,12567
1993,10,12047
1993,11,11284
1993,12,11865
1994,1,11477
1994,2,11111
1994,3,12855
1994,4,12438
1994,5,13099
1994,6,12961
1994,7,12946
1994,8,12898
1994,9,12355
1994,10,11803
1994,11,11511
1994,12,11614
1995,1,11518
1995,2,11017
1995,3,12861
1995,4,12377
1995,5,13276
1995,6,13056
1995,7,12972
1995,8,12790
1995,9,12392
1995,10,12018
1995,11,11079
1995,12,10907
1996,1,11366
1996,2,10955
1996,3,12086
1996,4,11947
1996,5,12547
1996,6,12026
1996,7,12380
1996,8,12202
1996,9,11871
1996,10,11516
1996,11,10328
1996,12,10788
1997,1,10638
1997,2,9983
1997,3,11433
1997,4,11793
1997,5,12030
1997,6,11373
1997,7,11816
1997,8,11214
1997,9,10992
1997,10,11059
1997,11,10169
1997,12,10504
1998,1,10477
1998,2,10305
1998,3,11567
1998,4,11724
1998,5,12056
1998,6,11355
1998,7,11846
1998,8,11217
1998,9,11437
1998,10,10745
1998,11,9747
1998,12,10142
1998,1,10364
1999,2,9975
1999,3,11308
1999,4,10907
1999,5,11517
1999,6,11578
1999,7,11819
1999,8,11202
1999,9,11326
1999,10,10683
1999,11,9980
1999,12,10421
2000,1,10602
2000,2,10219
2000,3,11310
2000,4,10759
2000,5,11618
2000,6,11132
2000,7,11238
2000,8,10812
2000,9,10399
2000,10,10002
2000,11,9721
2000,12,9596
2001,1,10380
2001,2,9961
2001,3,11331
2001,4,11174
2001,5,11856
2001,6,11267
2001,7,11535
2001,8,11404
2001,9,11333
2001,10,11173
2001,11,10219
2001,12,10076
2002,1,10349
2002,2,9640
2002,3,10698
2002,4,10653
2002,5,11090
2002,6,10774
2002,7,11365
2002,8,11394
2002,9,11326
2002,10,10980
2002,11,10288
2002,12,9971
